Continent,acq_date,Collections,Total,,,,,,,,,,,,,,,,,
AM,1970,2,33063,,,,,,,,,,,,,,,,,
AM,1971,17,33063,,,,,,,,,,,,,,,,,
AM,1972,1,33063,,,,,,,,,,,,,,,,,
AM,1974,2,33063,,,,,,,,,,,,,,,,,
AM,1975,9,33063,,,,,,,,,,,,,,,,,
AM,1976,3,33063,,,,,,,,,,,,,,,,,
AM,1977,3,33063,,,,,,,,,,,,,,,,,
AM,1978,23,33063,,,,,,,,,,,,,,,,,
AM,1979,62,33063,,,,,,,,,,,,,,,,,
AM,1980,2251,33063,,,,,,,,,,,,,,,,,
AM,1981,1368,33063,,,,,,,,,,,,,,,,,
AM,1982,434,33063,,,,,,,,,,,,,,,,,
AM,1983,1814,33063,,,,,,,,,,,,,,,,,
AM,1985,1,33063,,,,,,,,,,,,,,,,,
AM,1986,26,33063,,,,,,,,,,,,,,,,,
AM,1987,289,33063,,,,,,,,,,,,,,,,,
AM,1988,21,33063,,,,,,,,,,,,,,,,,
AM,1989,118,33063,,,,,,,,,,,,,,,,,
AM,1990,1,33063,,,,,,,,,,,,,,,,,
AM,1991,1,33063,,,,,,,,,,,,,,,,,
AM,1992,3,33063,,,,,,,,,,,,,,,,,
AM,1993,34,33063,,,,,,,,,,,,,,,,,
AM,1994,3,33063,,,,,,,,,,,,,,,,,
AM,1997,183,33063,,,,,,,,,,,,,,,,,
AM,2001,7,33063,,,,,,,,,,,,,,,,,
AM,2002,6,33063,,,,,,,,,,,,,,,,,
AM,2006,3,33063,,,,,,,,,,,,,,,,,
AM,2011,5,33063,,,,,,,,,,,,,,,,,
AM,2016,3,33063,,,,,,,,,,,,,,,,,
AM,1753,1,33063,,,,,,,,,,,,,,,,,
AM,1857,1,33063,,,,,,,,,,,,,,,,,
AM,1860,11,33063,,,,,,,,,,,,,,,,,
AM,1862,1,33063,,,,,,,,,,,,,,,,,
AM,1865,1,33063,,,,,,,,,,,,,,,,,
AM,1871,19,33063,,,,,,,,,,,,,,,,,
AM,1872,12,33063,,,,,,,,,,,,,,,,,
AM,1873,1,33063,,,,,,,,,,,,,,,,,
AM,1876,1,33063,,,,,,,,,,,,,,,,,
AM,1877,3,33063,,,,,,,,,,,,,,,,,
AM,1878,1,33063,,,,,,,,,,,,,,,,,
AM,1879,1,33063,,,,,,,,,,,,,,,,,
AM,1881,1,33063,,,,,,,,,,,,,,,,,
AM,1882,1,33063,,,,,,,,,,,,,,,,,
AM,1892,1,33063,,,,,,,,,,,,,,,,,
AM,1893,4,33063,,,,,,,,,,,,,,,,,
AM,1894,6,33063,,,,,,,,,,,,,,,,,
AM,1896,2,33063,,,,,,,,,,,,,,,,,
AM,1898,140,33063,,,,,,,,,,,,,,,,,
AM,1900,3,33063,,,,,,,,,,,,,,,,,
AM,1904,1,33063,,,,,,,,,,,,,,,,,
AM,1907,4,33063,,,,,,,,,,,,,,,,,
AM,1908,1,33063,,,,,,,,,,,,,,,,,
AM,1910,3,33063,,,,,,,,,,,,,,,,,
AM,1914,1,33063,,,,,,,,,,,,,,,,,
AM,1920,1,33063,,,,,,,,,,,,,,,,,
AM,1921,2,33063,,,,,,,,,,,,,,,,,
AM,1922,2,33063,,,,,,,,,,,,,,,,,
AM,1923,2,33063,,,,,,,,,,,,,,,,,
AM,1924,334,33063,,,,,,,,,,,,,,,,,
AM,1927,9,33063,,,,,,,,,,,,,,,,,
AM,1930,6,33063,,,,,,,,,,,,,,,,,
AM,1931,1,33063,,,,,,,,,,,,,,,,,
AM,1932,7,33063,,,,,,,,,,,,,,,,,
AM,1933,3,33063,,,,,,,,,,,,,,,,,
AM,1935,1,33063,,,,,,,,,,,,,,,,,
AM,1937,11,33063,,,,,,,,,,,,,,,,,
AM,1938,99,33063,,,,,,,,,,,,,,,,,
